location_id,location_name,iso3,level,year,the_total_mean,the_total_lower,the_total_upper,ghes_total_mean,ghes_total_lower,ghes_total_upper,ppp_total_mean,ppp_total_lower,ppp_total_upper,oop_total_mean,oop_total_lower,oop_total_upper,dah_total,the_per_cap_mean,the_per_cap_lower,the_per_cap_upper,ghes_per_cap_mean,ghes_per_cap_lower,ghes_per_cap_upper,ppp_per_cap_mean,ppp_per_cap_lower,ppp_per_cap_upper,oop_per_cap_mean,oop_per_cap_lower,oop_per_cap_upper,dah_per_cap,ghes_per_the_mean,ghes_per_the_lower,ghes_per_the_upper,ppp_per_the_mean,ppp_per_the_lower,ppp_per_the_upper,oop_per_the_mean,oop_per_the_lower,oop_per_the_upper,dah_per_the_mean,dah_per_the_lower,dah_per_the_upper,the_per_gdp_mean,the_per_gdp_lower,the_per_gdp_upper,ghes_per_gdp_mean,ghes_per_gdp_lower,ghes_per_gdp_upper,ppp_per_gdp_mean,ppp_per_gdp_lower,ppp_per_gdp_upper,oop_per_gdp_mean,oop_per_gdp_lower,oop_per_gdp_upper,dah_per_gdp
160,Afghanistan,AFG,Country,1995,1656826,1336511,2287336,40878,37698,44654,18859,12297,25864,1579290,1257727,2211514,17799,103,83,142,3,2,3,1,1,2,98,78,137,1,0.025,0.020,0.028,0.011,0.010,0.012,0.952,0.941,0.966,0.011,0.008,0.013,0.120,0.096,0.165,0.003,0.003,0.003,0.001,0.001,0.002,0.114,0.091,0.160,0.001
160,Afghanistan,AFG,Country,1996,1650986,1296169,2249103,41163,37940,44327,17904,11369,25981,1566611,1206280,2165618,25307,98,77,134,2,2,3,1,1,2,93,72,129,2,0.025,0.020,0.030,0.011,0.009,0.012,0.948,0.931,0.962,0.016,0.011,0.020,0.118,0.092,0.160,0.003,0.003,0.003,0.001,0.001,0.002,0.112,0.086,0.155,0.002
160,Afghanistan,AFG,Country,1997,1658211,1212780,2254948,41561,38411,44965,16559,11205,25221,1550540,1106213,2152121,49551,96,70,130,2,2,3,1,1,1,89,64,124,3,0.026,0.020,0.032,0.010,0.009,0.011,0.934,0.908,0.954,0.031,0.022,0.041,0.117,0.086,0.160,0.003,0.003,0.003,0.001,0.001,0.002,0.110,0.078,0.152,0.003
160,Afghanistan,AFG,Country,1998,1603968,1160882,2210640,42277,38964,44857,15224,10306,21733,1524959,1079142,2140234,21508,90,65,124,2,2,3,1,1,1,86,61,120,1,0.027,0.020,0.034,0.009,0.009,0.010,0.950,0.931,0.964,0.014,0.010,0.019,0.113,0.081,0.155,0.003,0.003,0.003,0.001,0.001,0.002,0.107,0.076,0.150,0.001
160,Afghanistan,AFG,Country,1999,1620047,1266266,2139939,43331,39505,46385,14303,9547,19985,1518470,1164755,2036393,43943,88,69,117,2,2,3,1,1,1,83,64,111,2,0.027,0.022,0.032,0.009,0.007,0.009,0.936,0.920,0.952,0.028,0.021,0.035,0.113,0.088,0.149,0.003,0.003,0.003,0.001,0.001,0.001,0.106,0.081,0.142,0.003
160,Afghanistan,AFG,Country,2000,1627402,1348383,1996185,44286,40652,47018,14044,9122,20718,1536625,1253353,1901359,32447,86,71,106,2,2,2,1,0,1,81,66,100,2,0.027,0.024,0.030,0.009,0.007,0.010,0.944,0.932,0.956,0.020,0.016,0.024,0.115,0.095,0.141,0.003,0.003,0.003,0.001,0.001,0.001,0.108,0.088,0.134,0.002
160,Afghanistan,AFG,Country,2001,1682159,1463833,1943457,44686,41493,47457,13941,9343,20171,1571316,1351838,1834166,52217,86,74,99,2,2,2,1,0,1,80,69,93,3,0.027,0.024,0.028,0.008,0.006,0.010,0.934,0.923,0.944,0.031,0.027,0.036,0.125,0.109,0.145,0.003,0.003,0.004,0.001,0.001,0.002,0.117,0.101,0.137,0.004
160,Afghanistan,AFG,Country,2002,1744697,1617194,1876839,60100,56235,64205,11153,7417,14714,1521709,1391892,1655257,151735,85,79,91,3,3,3,1,0,1,74,68,80,7,0.034,0.034,0.035,0.006,0.005,0.008,0.872,0.861,0.883,0.087,0.081,0.094,0.091,0.085,0.098,0.003,0.003,0.003,0.001,0.000,0.001,0.080,0.073,0.087,0.007
160,Afghanistan,AFG,Country,2003,1906676,1789413,2054327,80123,75742,86061,11182,7565,15871,1612296,1494725,1761353,203075,88,83,95,4,4,4,1,0,1,75,69,82,9,0.042,0.042,0.042,0.006,0.004,0.008,0.845,0.835,0.858,0.107,0.099,0.113,0.091,0.086,0.098,0.004,0.004,0.004,0.001,0.000,0.001,0.078,0.072,0.085,0.009
160,Afghanistan,AFG,Country,2004,2338163,2221681,2506533,91964,86244,99162,11856,8450,16420,1742303,1628201,1913343,492041,104,99,111,4,4,4,1,0,1,77,72,85,22,0.039,0.039,0.040,0.005,0.004,0.007,0.745,0.733,0.763,0.211,0.196,0.221,0.110,0.104,0.118,0.004,0.004,0.005,0.001,0.000,0.001,0.083,0.077,0.091,0.022
160,Afghanistan,AFG,Country,2005,2591302,2468172,2733290,108293,100878,117333,11691,7918,17566,1849596,1727577,1989771,621721,110,105,116,5,4,5,0,0,1,79,74,85,26,0.042,0.041,0.043,0.004,0.003,0.006,0.714,0.700,0.729,0.240,0.227,0.252,0.108,0.103,0.114,0.005,0.004,0.005,0.000,0.000,0.001,0.078,0.073,0.084,0.025
160,Afghanistan,AFG,Country,2006,2780360,2630881,2903972,123533,115441,133774,13091,8305,20358,2023046,1874163,2155443,620691,114,108,120,5,5,6,1,0,1,83,77,89,26,0.044,0.044,0.046,0.005,0.003,0.007,0.727,0.712,0.742,0.223,0.214,0.236,0.110,0.104,0.115,0.005,0.005,0.005,0.001,0.000,0.001,0.081,0.075,0.086,0.023
160,Afghanistan,AFG,Country,2007,3060516,2918716,3206386,147080,136821,159697,13954,9004,24184,2167967,2030786,2314197,731514,122,117,128,6,5,6,1,0,1,87,81,93,29,0.048,0.047,0.050,0.005,0.003,0.008,0.708,0.696,0.722,0.239,0.228,0.251,0.106,0.101,0.111,0.005,0.005,0.006,0.000,0.000,0.001,0.076,0.071,0.081,0.024
160,Afghanistan,AFG,Country,2008,3182811,3014823,3350675,161995,149410,174154,16222,10629,23936,2344185,2180679,2507442,660409,124,117,130,6,6,7,1,0,1,91,85,98,26,0.051,0.050,0.052,0.005,0.004,0.007,0.736,0.723,0.750,0.208,0.197,0.219,0.106,0.100,0.112,0.005,0.005,0.006,0.001,0.000,0.001,0.079,0.074,0.085,0.021
160,Afghanistan,AFG,Country,2009,3585960,3425816,3761196,193786,181518,207362,17167,11802,23981,2462595,2294493,2635606,912411,136,130,142,7,7,8,1,0,1,93,87,100,35,0.054,0.053,0.055,0.005,0.003,0.006,0.687,0.670,0.701,0.255,0.243,0.266,0.098,0.094,0.103,0.005,0.005,0.006,0.000,0.000,0.001,0.069,0.064,0.073,0.024
160,Afghanistan,AFG,Country,2010,3766255,3574379,3977401,213980,199732,227768,20837,14749,30257,2601426,2408604,2820949,930012,139,131,146,8,7,8,1,1,1,96,89,104,34,0.057,0.056,0.058,0.006,0.004,0.008,0.691,0.675,0.707,0.247,0.234,0.260,0.095,0.090,0.101,0.005,0.005,0.006,0.001,0.000,0.001,0.067,0.062,0.072,0.022
160,Afghanistan,AFG,Country,2011,4056906,3868590,4250448,226980,210584,241165,22977,16429,30993,2678632,2498466,2875778,1128316,145,138,151,8,8,9,1,1,1,95,89,102,40,0.056,0.054,0.057,0.006,0.004,0.007,0.660,0.645,0.676,0.278,0.265,0.292,0.096,0.091,0.100,0.005,0.005,0.006,0.001,0.000,0.001,0.064,0.060,0.069,0.026
160,Afghanistan,AFG,Country,2012,4132027,3934588,4336914,252718,235918,268912,25446,17547,34303,2843539,2665135,3052074,1010324,142,135,149,9,8,9,1,1,1,98,92,105,35,0.061,0.060,0.062,0.006,0.004,0.008,0.688,0.675,0.704,0.245,0.233,0.257,0.085,0.081,0.089,0.005,0.005,0.006,0.001,0.000,0.001,0.059,0.056,0.064,0.020
160,Afghanistan,AFG,Country,2013,4566470,4383537,4759463,271163,254486,292072,29935,19941,44244,3200531,3021321,3394307,1064841,151,145,158,9,8,10,1,1,1,106,100,113,35,0.059,0.058,0.061,0.007,0.005,0.009,0.701,0.689,0.713,0.233,0.224,0.243,0.090,0.086,0.094,0.005,0.005,0.006,0.001,0.000,0.001,0.064,0.060,0.067,0.020
160,Afghanistan,AFG,Country,2014,4912945,4717461,5095272,288204,270098,312840,33933,21895,46419,3667070,3477805,3851943,923738,157,151,163,9,9,10,1,1,1,117,111,123,30,0.059,0.057,0.061,0.007,0.005,0.009,0.746,0.737,0.756,0.188,0.181,0.196,0.094,0.090,0.098,0.006,0.005,0.006,0.001,0.000,0.001,0.071,0.067,0.074,0.017
160,Afghanistan,AFG,Country,2015,5423335,5159590,5630642,304307,285128,333789,37661,26032,56004,4157187,3878366,4361851,924179,168,160,174,9,9,10,1,1,2,129,120,135,29,0.056,0.055,0.059,0.007,0.005,0.010,0.766,0.753,0.775,0.171,0.164,0.179,0.102,0.097,0.106,0.006,0.005,0.006,0.001,0.000,0.001,0.079,0.074,0.083,0.017
