Afghanistan,34.575503,69.240073
Albania,41.327546,19.818698
Algeria,36.752887,3.042048
American Samoa,-14.275632,-170.702036
Andorra,42.506317,1.521835
Angola,-8.839988,13.289437
Antigua and Barbuda,17.12741,-61.846772
Argentina,-34.603684,-58.381559
Armenia,40.179186,44.499103
Australia,-35.282,149.128684
Austria,48.208174,16.373819
Azerbaijan,40.409262,49.867092
The Bahamas,25.047984,-77.355413
Bahrain,26.228516,50.58605
Bangladesh,23.810332,90.412518
Barbados,13.113222,-59.598809
Belarus,53.90454,27.561524
Belgium,50.85034,4.35171
Belize,17.251011,-88.75902
Benin,6.496857,2.628852
Bermuda,32.294816,-64.781375
Bhutan,27.472792,89.639286
Bolivia,-16.489689,-68.119294
Bosnia and Herzegovina,43.856259,18.413076
Botswana,-24.628208,25.923147
Brazil,-15.794229,-47.882166
Brunei,4.903052,114.939821
Bulgaria,42.697708,23.321868
Burkina Faso,12.371428,-1.51966
Burundi,-3.361378,29.359878
Cambodia,11.544873,104.892167
Cameroon,3.848033,11.502075
Canada,45.42153,-75.697193
Cape Verde,14.93305,-23.513327
Central African Republic,4.394674,18.55819
Chad,12.134846,15.055742
Chile,-33.44889,-70.669265
China,39.904211,116.407395
Colombia,4.710989,-74.072092
Comoros,-11.717216,43.247315
Democratic Republic of the Congo,-4.441931,15.266293
Congo,-4.26336,15.242885
Costa Rica,9.928069,-84.090725
Cote d'Ivoire,6.827623,-5.289343
Croatia,45.815011,15.981919
Cuba,23.05407,-82.345189
Cyprus,35.185566,33.382276
Czech Republic,50.075538,14.4378
Denmark,55.676097,12.568337
Djibouti,11.572077,43.145647
Dominica,15.309168,-61.379355
Dominican Republic,18.486058,-69.931212
Ecuador,-0.180653,-78.467838
Egypt,30.04442,31.235712
El Salvador,13.69294,-89.218191
Equatorial Guinea,3.750412,8.737104
Eritrea,15.322877,38.925052
Estonia,59.436961,24.753575
Ethiopia,8.980603,38.757761
Fiji,-18.124809,178.450079
Finland,60.173324,24.941025
France,48.856614,2.352222
Gabon,0.416198,9.467268
The Gambia,13.454876,-16.579032
Georgia,41.715138,44.827096
Germany,52.520007,13.404954
Ghana,5.603717,-0.186964
Greece,37.983917,23.72936
Greenland,64.18141,-51.694138
Grenada,12.056098,-61.7488
Guam,13.470891,144.751278
Guatemala,14.634915,-90.506882
Guinea,9.641185,-13.578401
Guinea-Bissau,11.881655,-15.617794
Guyana,6.801279,-58.155125
Haiti,18.594395,-72.307433
Honduras,14.072275,-87.192136
Hungary,47.497912,19.040235
Iceland,64.126521,-21.817439
India,28.613939,77.209021
Indonesia,-6.208763,106.845599
Iran,35.689198,51.388974
Iraq,33.312806,44.361488
Ireland,53.349805,-6.26031
Israel,32.0853,34.781768
Italy,41.902784,12.496366
Jamaica,18.042327,-76.802893
Japan,35.709026,139.731992
Jordan,31.956578,35.945695
Kazakhstan,51.160523,71.470356
Kenya,-1.292066,36.821946
Kiribati,1.451817,172.971662
Kuwait,29.375859,47.977405
Kyrgyzstan,42.874621,74.569762
Laos,17.975706,102.633104
Latvia,56.949649,24.105186
Lebanon,33.888629,35.495479
Lesotho,-29.363219,27.51436
Liberia,6.290743,-10.760524
Libya,32.887209,13.191338
Lithuania,54.687156,25.279651
Luxembourg,49.611621,6.131935
Macedonia,41.997346,21.427996
Madagascar,-18.87919,47.507905
Malawi,-13.962612,33.774119
Malaysia,3.139003,101.686855
Maldives,4.175496,73.509347
Mali,12.639232,-8.002889
Malta,35.898909,14.514553
Marshall Islands,7.116421,171.185774
Mauritania,18.07353,-15.958237
Mauritius,-20.166896,57.502332
Mexico,19.432608,-99.133208
Federated States of Micronesia,6.914712,158.161027
Moldova,47.010453,28.86381
Mongolia,47.886399,106.905744
Montenegro,42.43042,19.259364
Morocco,33.97159,-6.849813
Mozambique,-25.891968,32.605135
Myanmar,19.763306,96.07851
Namibia,-22.560881,17.065755
Nepal,27.717245,85.323961
Netherlands,52.370216,4.895168
New Zealand,-41.28646,174.776236
Nicaragua,12.114993,-86.236174
Niger,13.511596,2.125385
Nigeria,9.076479,7.398574
North Korea,39.039219,125.762524
Northern Mariana Islands,15.177801,145.750967
Norway,59.913869,10.752245
Oman,23.58589,58.405923
Pakistan,33.729388,73.093146
Palestine,31.9073509,35.5354719
Panama,9.101179,-79.402864
Papua New Guinea,-9.4438,147.180267
Paraguay,-25.26374,-57.575926
Peru,-12.046374,-77.042793
Philippines,14.599512,120.98422
Poland,52.229676,21.012229
Portugal,38.722252,-9.139337
Puerto Rico,18.466334,-66.105722
Qatar,25.285447,51.53104
Romania,44.426767,26.102538
Russian Federation,55.755826,37.6173
Rwanda,-1.957875,30.112735
Saint Vincent and the Grenadines,13.160025,-61.224816
Samoa,-13.850696,-171.751355
Sao Tome and Principe,0.330192,6.733343
Saudi Arabia,24.749403,46.902838
Senegal,14.764504,-17.366029
Serbia,44.786568,20.448922
Seychelles,-4.619143,55.451315
Sierra Leone,8.465677,-13.231722
Singapore,1.280095,103.850949
Slovakia,48.145892,17.107137
Slovenia,46.056947,14.505751
Solomon Islands,-9.445638,159.9729
Somalia,2.046934,45.318162
South Africa,-25.747868,28.229271
South Korea,37.566535,126.977969
South Sudan,4.859363,31.57125
Spain,40.416775,-3.70379
Sri Lanka,6.89407,79.902478
Saint Lucia,14.010109,-60.987469
Sudan,15.500654,32.559899
Suriname,5.852036,-55.203828
Swaziland,-26.305448,31.136672
Sweden,59.329323,18.068581
Switzerland,46.947974,7.447447
Syria,33.513807,36.276528
Taiwan (Province of China),25.032969,121.565418
Tajikistan,38.559772,68.787038
Tanzania,-6.162959,35.751607
Thailand,13.756331,100.501765
Timor-Leste,-8.556856,125.560314
Togo,6.172497,1.231362
Tonga,-21.139342,-175.204947
Trinidad and Tobago,10.654901,-61.501926
Tunisia,36.806495,10.181532
Turkey,39.933364,32.859742
Turkmenistan,37.960077,58.326063
Virgin Islands, U.S.,18.3419,-64.930701
Uganda,0.347596,32.58252
Ukraine,50.4501,30.5234
United Arab Emirates,24.299174,54.697277
United Kingdom,51.507351,-0.127758
United States,38.907192,-77.036871
Uruguay,-34.901113,-56.164531
Uzbekistan,41.299496,69.240073
Vanuatu,-17.733251,168.327325
Venezuela,10.480594,-66.903606
Vietnam,21.027764,105.83416
Yemen,15.369445,44.191007
Zambia,-15.387526,28.322817
Zimbabwe,-17.825166,31.03351
